@RELATION article

@ATTRIBUTE F1 REAL
@ATTRIBUTE F2 REAL
@ATTRIBUTE F3 REAL
@ATTRIBUTE F4 REAL
@ATTRIBUTE F5 {True,False}
@ATTRIBUTE F6 REAL
@ATTRIBUTE F7 REAL
@ATTRIBUTE RESULT {True,False}

@DATA
0.125,0,59,0,False,3,1.84057971014493,True
0,0,8,0,False,1,0.898550724637681,False
0.0526315789473684,0,60,0,True,2,2.10144927536232,True
0,0,6,0,False,1,0.579710144927536,False
0,1,22,0,True,0,1.91304347826087,False
0.0625,2,60,0,False,3,1.8695652173913,True
0.25,2,26,0,False,2,0.478260869565217,True
0.2,1,30,0,False,1,0.449275362318841,True
0,2,8,0,False,1,0.376811594202899,False
0.0833333333333333,3,36,2,False,3,1.02898550724638,False
0.05,7,55,0,False,1,2.02898550724638,True
0.125,7,38,0,False,2,0.695652173913043,True
0,1,9,0,False,0,0.492753623188406,False
0,1,42,0,False,3,2.65217391304348,False
0.2,3,31,0,False,1,0.63768115942029,True
0.0769230769230769,3,40,0,False,1,1.44927536231884,False
0.4,2,27,0,False,1,0.478260869565217,True
0.25,2,25,0,False,1,0.434782608695652,False
0.1,1,35,0,False,3,1.20289855072464,False
0,0,9,0,False,0,1.11594202898551,False
0.0909090909090909,7,45,0,False,2,1.04347826086957,True
0.0666666666666667,10,51,0,False,5,1.44927536231884,True
0.5,3,24,0,False,1,0.188405797101449,True
0,0,15,0,False,1,0.463768115942029,False
0,0,9,0,False,0,1.01449275362319,False
0.111111111111111,1,35,0,False,1,0.855072463768116,False
0.125,2,30,0,False,1,0.72463768115942,False
0.166666666666667,2,27,0,True,1,0.434782608695652,False
0.2,1,30,0,False,2,0.478260869565217,True
0,1,19,0,False,1,0.550724637681159,False
0,1,21,0,True,1,0.91304347826087,False
0,0,10,0,False,0,1.36231884057971,False
0,2,35,0,True,3,1.29032258064516,True
0,4,23,0,False,1,0.854838709677419,True
0,3,35,0,False,3,1.32258064516129,False
0,1,15,0,False,2,0.887096774193548,False
0.181818181818182,0,26,0,False,2,1.33870967741935,False
0,1,25,0,True,1,1.14516129032258,False
0,2,16,0,False,1,0.612903225806452,True
0.166666666666667,2,26,0,False,3,0.741935483870968,True
0,1,19,0,False,1,0.661290322580645,False
0.1,3,20,0,False,4,1.08064516129032,False
0.111111111111111,4,29,0,False,3,0.919354838709677,True
0,2,31,0,False,4,1.01612903225806,True
0,1,20,0,False,4,1.01612903225806,False
0,1,12,0,False,1,0.370967741935484,False
0.111111111111111,1,20,0,True,1,0.854838709677419,True
0.111111111111111,2,25,0,False,1,1.12903225806452,False
0.0833333333333333,2,31,0,True,3,1.35483870967742,True
0,0,12,0,False,1,0.790322580645161,False
0,0,19,0,False,3,1.67741935483871,False
0.111111111111111,0,22,0,False,2,0.917808219178082,True
0,0,12,0,False,1,0.753424657534247,False
0.125,0,23,0,False,1,0.931506849315068,True
0,0,2,0,False,0,0.136986301369863,False
0,1,7,0,False,1,0.547945205479452,True
0,3,31,0,True,3,0.917808219178082,True
0.0666666666666667,3,45,0,False,2,1.64383561643836,False
0.111111111111111,1,23,0,False,2,1.13698630136986,True
0,0,21,0,True,1,1.38356164383562,False
0.0909090909090909,2,26,0,False,2,1.42465753424658,True
0,3,35,0,True,1,1.95890410958904,False
0,1,10,0,False,0,0.917808219178082,False
0,1,19,0,True,0,1.46575342465753,False
0,3,17,0,False,0,1.12328767123288,False
0,2,15,0,False,0,1.26027397260274,False
0,6,16,0,False,2,0.479452054794521,True
0,6,25,0,False,5,1.31506849315068,False
0,0,12,0,False,1,1.0958904109589,False
0,1,27,2,True,1,1.75342465753425,True
0,1,19,0,False,1,1.43835616438356,False
0,0,21,0,False,0,1.0958904109589,False
0.0714285714285714,1,29,0,False,5,1.34246575342466,True
0.0769230769230769,2,27,0,False,3,1.52054794520548,False
0,2,20,0,False,1,1.46575342465753,False
0.142857142857143,1,20,0,False,3,0.931506849315068,True
0.333333333333333,1,14,0,False,1,0.328767123287671,False
0.111111111111111,2,35,0,False,3,0.986301369863014,True
0.142857142857143,2,19,1,False,1,0.63013698630137,True
0,1,6,1,True,0,0.26027397260274,False
0.1,0,30,0,False,1,1.26027397260274,True
0,0,11,0,False,1,0.493150684931507,False
0.2,1,14,0,False,1,0.465753424657534,False
0.1,1,24,1,True,2,1.06849315068493,False
0.25,2,15,0,False,1,0.438356164383562,False
0.0714285714285714,2,29,0,False,2,1.64383561643836,True
0,0,2,0,False,0,0.26027397260274,False
0,0,10,0,False,0,0.602739726027397,False
0.125,0,23,0,False,2,0.973333333333333,True
0.166666666666667,0,8,0,False,2,0.6,False
0.0833333333333333,2,20,0,False,3,1.24,True
0,5,15,0,False,4,0.733333333333333,True
0,4,23,0,False,3,1.24,False
0,1,11,0,False,1,0.866666666666667,False
0,3,13,0,False,1,0.733333333333333,True
0,7,19,0,False,7,1.26666666666667,False
0,4,14,0,False,3,0.693333333333333,False
0.0526315789473684,0,29,0,False,3,1.73333333333333,False
0,0,38,0,False,6,1.73684210526316,True
0.333333333333333,0,25,0,False,2,0.807017543859649,False
0,0,5,0,False,0,0.192982456140351,True
0.1,1,17,0,False,0,1.12280701754386,False
0,1,19,0,False,2,0.43859649122807,False
0.0833333333333333,0,26,0,False,3,1.63157894736842,False
0,3,18,0,False,1,1.15789473684211,False
0.0909090909090909,4,40,0,False,3,1.33333333333333,True
0,1,20,0,False,2,0.947368421052632,False
NaN,0,2,0,False,0,0,False
0,0,13,0,False,2,1,False
0,1,19,0,False,4,2.10526315789474,False
0,1,33,0,False,3,1.28070175438596,False
0,3,18,1,False,1,0.842105263157895,True
0,3,24,0,False,3,0.87719298245614,False
0,0,2,0,False,0,0,False
0,1,23,0,False,3,0.666666666666667,False
0,1,13,0,False,1,0.87719298245614,False
0,0,16,0,False,0,0.754385964912281,False
0,1,18,0,False,1,0.842105263157895,True
0,1,32,0,False,4,1.21052631578947,True
0,1,24,0,False,3,2.29824561403509,False
0,2,16,0,False,2,0.771929824561403,False
0,1,25,1,False,1,1.24561403508772,False
0,0,23,0,False,2,0.982456140350877,False
0.166666666666667,1,29,0,False,2,1.27397260273973,True
0,3,30,0,True,1,1.89041095890411,False
0.0666666666666667,2,41,0,False,2,1.83561643835616,True
0,0,11,0,True,0,1.08219178082192,False
0,0,8,0,False,1,0.698630136986301,False
0,0,8,0,False,0,0.547945205479452,True
0,1,30,3,False,1,2.38356164383562,True
0,1,25,0,False,2,1.52054794520548,False
0.166666666666667,0,12,0,False,1,0.520547945205479,False
0,0,25,0,False,2,1.46575342465753,True
0,0,14,0,False,0,0.671232876712329,True
NaN,0,1,0,False,0,0,True
0.0909090909090909,0,21,0,False,2,1.0958904109589,False
0,0,18,0,False,0,1,True
0,1,6,0,False,0,0.342465753424658,False
0,1,21,0,False,0,1.23287671232877,True
0.25,1,21,0,False,1,0.835616438356164,True
0.166666666666667,1,16,0,False,1,0.643835616438356,False
0,0,14,1,False,1,0.726027397260274,False
0,0,14,0,False,0,1.04109589041096,False
0,0,4,0,False,1,0.342465753424658,False
0,0,8,0,True,1,0.602739726027397,False
0.0833333333333333,0,23,0,False,1,1.34246575342466,False
0,0,15,0,False,0,0.808219178082192,False
0,0,23,0,True,1,1.36986301369863,False
0,0,14,0,True,1,1.32876712328767,False
0,0,23,0,False,3,1.34246575342466,False
0,0,6,0,False,0,0.547945205479452,False
0,0,11,0,False,0,0.575342465753425,True
0.0769230769230769,1,22,4,False,3,1.5,False
0.1,1,15,0,False,2,1.26666666666667,False
0,3,17,0,False,1,1,False
0,4,10,0,False,1,0.283333333333333,True
0,1,18,1,False,1,1.58333333333333,False
0,0,14,0,False,0,1.08333333333333,False
0,0,7,0,False,0,0.716666666666667,False
0,1,11,0,False,0,1.11666666666667,False
0.125,1,13,0,False,2,1.13333333333333,False
0,1,13,0,False,2,0.95,True
0,4,18,0,False,2,1.25,False
0,4,21,0,False,3,1.1,True
0,2,19,0,False,2,1.06666666666667,False
0,3,17,0,False,2,0.966666666666667,True
0,2,16,0,True,1,1.03333333333333,False
0,0,10,0,True,1,1.16666666666667,False
0,0,8,1,False,1,0.516666666666667,False
0,0,16,0,False,1,1.38333333333333,True
0,0,4,0,False,0,0,False
0.222222222222222,0,23,0,False,3,1.01388888888889,True
0,0,3,0,False,0,0.0555555555555556,True
0.3,0,31,0,False,2,1.18055555555556,True
0,1,16,0,False,2,1.20833333333333,False
0.25,2,29,1,True,3,0.736111111111111,True
0.0909090909090909,1,18,0,False,3,1.31944444444444,False
0,1,17,0,False,1,0.958333333333333,False
0.3,3,21,0,False,1,1.04166666666667,False
0.0714285714285714,4,37,0,True,2,1.5,True
0.142857142857143,2,14,1,False,1,0.722222222222222,False
0.0769230769230769,2,27,0,False,5,1.36111111111111,True
0.125,3,16,0,False,1,0.763888888888889,False
0.2,1,14,0,False,1,0.472222222222222,True
0,0,19,0,False,1,1.80555555555556,False
0.111111111111111,1,55,0,True,7,1.32558139534884,True
0.0833333333333333,1,22,0,False,2,2.09302325581395,True
0,1,50,0,True,4,2.13953488372093,False
0,2,15,0,False,1,1.18604651162791,False
0,2,23,0,False,2,1.27906976744186,False
0,1,20,0,False,2,0.697674418604651,False
0,2,14,0,False,2,0.674418604651163,False
0,2,28,0,True,3,0.837209302325581,True
NaN,0,3,0,False,0,0,True
0,0,1,0,False,0,0.0930232558139535,False
0,1,41,2,True,2,3.37209302325581,True
0,1,41,2,False,3,3.6046511627907,True
0.0909090909090909,0,39,0,True,3,1.51162790697674,True
0,0,10,0,True,0,0.813953488372093,False
0,0,15,1,False,1,1.81395348837209,False
0,1,28,0,True,1,1.16279069767442,True
0,2,37,2,False,4,2.90697674418605,True
0,1,25,3,False,1,2.58139534883721,False
0,0,14,0,False,1,0.441860465116279,False
0,0,5,0,False,1,0.558139534883721,False
0,0,11,1,False,0,1.67441860465116,False
0,0,7,1,False,1,0.604651162790698,False
0,0,15,1,False,1,1.06976744186047,False
0,0,1,0,False,0,0.116279069767442,False
0.333333333333333,0,7,1,False,1,0.465116279069767,False
0,0,13,0,False,0,1.02325581395349,True
NaN,0,3,0,False,0,0,False
0,1,23,1,False,3,1.67441860465116,False
0.0625,5,59,1,False,6,2.74418604651163,False
0,4,30,0,False,1,1.88372093023256,True
0,0,4,1,False,0,0.627906976744186,False
0,0,9,0,False,1,0.0930232558139535,True
0,0,38,0,True,3,2.04651162790698,False
0,0,12,0,False,2,1.48837209302326,False
0,0,5,0,False,0,0.581395348837209,False
