@RELATION article

@ATTRIBUTE F1 REAL
@ATTRIBUTE F2 REAL
@ATTRIBUTE F3 REAL
@ATTRIBUTE F4 REAL
@ATTRIBUTE F5 {True,False}
@ATTRIBUTE F6 REAL
@ATTRIBUTE F7 REAL
@ATTRIBUTE RESULT {True,False}

@DATA
0.125,0,59,0,False,15,1.8405797101449275,?
0,0,8,0,False,7,0.8985507246376812,?
0.05263157894736842,0,60,0,True,15,2.101449275362319,?
0,0,6,0,False,1,0.5797101449275363,?
0,1,22,0,True,3,1.9130434782608696,?
0.0625,2,60,0,False,6,1.8695652173913044,?
0.25,2,26,0,False,2,0.4782608695652174,?
0.2,1,30,0,False,4,0.4492753623188406,?
0,2,8,0,False,2,0.37681159420289856,?
0.08333333333333333,3,36,2,False,4,1.0289855072463767,?
0.05,7,55,0,False,11,2.028985507246377,?
0.125,7,38,0,False,7,0.6956521739130435,?
0,1,9,0,False,2,0.4927536231884058,?
0,1,42,0,False,8,2.652173913043478,?
0.2,3,31,0,False,1,0.6376811594202898,?
0.07692307692307693,3,40,0,False,2,1.4492753623188406,?
0.4,2,27,0,False,2,0.4782608695652174,?
0.25,2,25,0,False,1,0.43478260869565216,?
0.1,1,35,0,False,3,1.2028985507246377,?
0,0,9,0,False,1,1.1159420289855073,?
0.09090909090909091,7,45,0,False,4,1.0434782608695652,?
0.06666666666666667,10,51,0,False,9,1.4492753623188406,?
0.5,3,24,0,False,2,0.18840579710144928,?
0,0,15,0,False,1,0.463768115942029,?
0,0,9,0,False,1,1.0144927536231885,?
0.1111111111111111,1,35,0,False,1,0.855072463768116,?
0.125,2,30,0,False,2,0.7246376811594203,?
0.16666666666666666,2,27,0,True,1,0.43478260869565216,?
0.2,1,30,0,False,3,0.4782608695652174,?
0,1,19,0,False,3,0.5507246376811594,?
0,1,21,0,True,3,0.9130434782608695,?
0,0,10,0,False,0,1.3623188405797102,?
